Object,Time Step,Instance ID,Power Consumption
EdgeServer_6,57,6,108.73333333333333
EdgeServer_1,58,1,203.1225
EdgeServer_2,58,2,165.99599999999998
EdgeServer_3,58,3,66.9914
EdgeServer_4,58,4,66.9914
EdgeServer_5,58,5,74.50833333333334
EdgeServer_6,58,6,97.325
EdgeServer_1,59,1,190.74699999999999
EdgeServer_2,59,2,165.99599999999998
EdgeServer_3,59,3,66.9914
EdgeServer_4,59,4,66.9914
EdgeServer_5,59,5,74.50833333333334
EdgeServer_6,59,6,108.73333333333333
EdgeServer_1,60,1,203.1225
EdgeServer_2,60,2,165.99599999999998
EdgeServer_3,60,3,66.9914
EdgeServer_4,60,4,66.9914
EdgeServer_5,60,5,74.50833333333334
EdgeServer_6,60,6,97.325
EdgeServer_1,61,1,178.37149999999997
EdgeServer_2,61,2,165.99599999999998
EdgeServer_3,61,3,66.9914
EdgeServer_4,61,4,66.9914
EdgeServer_5,61,5,74.50833333333334
EdgeServer_6,61,6,120.14166666666668
EdgeServer_1,62,1,178.37149999999997
EdgeServer_2,62,2,165.99599999999998
EdgeServer_3,62,3,66.9914
EdgeServer_4,62,4,66.9914
EdgeServer_5,62,5,74.50833333333334
EdgeServer_6,62,6,120.14166666666668
EdgeServer_1,63,1,178.37149999999997
EdgeServer_2,63,2,165.99599999999998
EdgeServer_3,63,3,66.9914
EdgeServer_4,63,4,66.9914
EdgeServer_5,63,5,74.50833333333334
EdgeServer_6,63,6,120.14166666666668
EdgeServer_1,64,1,178.37149999999997
EdgeServer_2,64,2,165.99599999999998
EdgeServer_3,64,3,66.9914
EdgeServer_4,64,4,66.9914
EdgeServer_5,64,5,74.50833333333334
EdgeServer_6,64,6,120.14166666666668
EdgeServer_1,65,1,178.37149999999997
EdgeServer_2,65,2,165.99599999999998
EdgeServer_3,65,3,66.9914
EdgeServer_4,65,4,66.9914
EdgeServer_5,65,5,74.50833333333334
EdgeServer_6,65,6,120.14166666666668
EdgeServer_1,66,1,178.37149999999997
EdgeServer_2,66,2,165.99599999999998
EdgeServer_3,66,3,66.9914
EdgeServer_4,66,4,66.9914
EdgeServer_5,66,5,74.50833333333334
EdgeServer_6,66,6,120.14166666666668
EdgeServer_1,67,1,178.37149999999997
EdgeServer_2,67,2,165.99599999999998
EdgeServer_3,67,3,66.9914
EdgeServer_4,67,4,66.9914
EdgeServer_5,67,5,74.50833333333334
EdgeServer_6,67,6,120.14166666666668
EdgeServer_1,68,1,178.37149999999997
EdgeServer_2,68,2,165.99599999999998
EdgeServer_3,68,3,66.9914
EdgeServer_4,68,4,66.9914
EdgeServer_5,68,5,74.50833333333334
EdgeServer_6,68,6,120.14166666666668
EdgeServer_1,69,1,165.99599999999998
EdgeServer_2,69,2,165.99599999999998
EdgeServer_3,69,3,66.9914
EdgeServer_4,69,4,66.9914
EdgeServer_5,69,5,74.50833333333334
EdgeServer_6,69,6,131.55
EdgeServer_1,70,1,165.99599999999998
EdgeServer_2,70,2,165.99599999999998
EdgeServer_3,70,3,66.9914
EdgeServer_4,70,4,66.9914
EdgeServer_5,70,5,74.50833333333334
EdgeServer_6,70,6,131.55
EdgeServer_1,71,1,165.99599999999998
EdgeServer_2,71,2,165.99599999999998
EdgeServer_3,71,3,66.9914
EdgeServer_4,71,4,66.9914
EdgeServer_5,71,5,74.50833333333334
EdgeServer_6,71,6,131.55
EdgeServer_1,72,1,165.99599999999998
EdgeServer_2,72,2,165.99599999999998
EdgeServer_3,72,3,66.9914
EdgeServer_4,72,4,66.9914
EdgeServer_5,72,5,74.50833333333334
EdgeServer_6,72,6,131.55
EdgeServer_1,73,1,165.99599999999998
EdgeServer_2,73,2,165.99599999999998
EdgeServer_3,73,3,66.9914
EdgeServer_4,73,4,66.9914
EdgeServer_5,73,5,74.50833333333334
EdgeServer_6,73,6,131.55
EdgeServer_1,74,1,165.99599999999998
EdgeServer_2,74,2,165.99599999999998
EdgeServer_3,74,3,66.9914
EdgeServer_4,74,4,66.9914
EdgeServer_5,74,5,74.50833333333334
EdgeServer_6,74,6,131.55
EdgeServer_1,75,1,165.99599999999998
EdgeServer_2,75,2,165.99599999999998
EdgeServer_3,75,3,66.9914
EdgeServer_4,75,4,66.9914
EdgeServer_5,75,5,74.50833333333334
EdgeServer_6,75,6,131.55
EdgeServer_1,76,1,165.99599999999998
EdgeServer_2,76,2,165.99599999999998
EdgeServer_3,76,3,66.9914
EdgeServer_4,76,4,66.9914
EdgeServer_5,76,5,74.50833333333334
EdgeServer_6,76,6,131.55
EdgeServer_1,77,1,165.99599999999998
EdgeServer_2,77,2,165.99599999999998
EdgeServer_3,77,3,66.9914
EdgeServer_4,77,4,66.9914
EdgeServer_5,77,5,74.50833333333334
EdgeServer_6,77,6,131.55
EdgeServer_1,78,1,165.99599999999998
EdgeServer_2,78,2,165.99599999999998
EdgeServer_3,78,3,66.9914
EdgeServer_4,78,4,66.9914
EdgeServer_5,78,5,74.50833333333334
EdgeServer_6,78,6,131.55
EdgeServer_1,79,1,165.99599999999998
EdgeServer_2,79,2,165.99599999999998
EdgeServer_3,79,3,66.9914
EdgeServer_4,79,4,66.9914
EdgeServer_5,79,5,74.50833333333334
EdgeServer_6,79,6,131.55
EdgeServer_1,80,1,165.99599999999998
EdgeServer_2,80,2,165.99599999999998
EdgeServer_3,80,3,66.9914
EdgeServer_4,80,4,66.9914
EdgeServer_5,80,5,74.50833333333334
EdgeServer_6,80,6,131.55
EdgeServer_1,81,1,190.74699999999999
EdgeServer_2,81,2,165.99599999999998
EdgeServer_3,81,3,66.9914
EdgeServer_4,81,4,66.9914
EdgeServer_5,81,5,74.50833333333334
EdgeServer_6,81,6,108.73333333333333
EdgeServer_1,82,1,190.74699999999999
EdgeServer_2,82,2,165.99599999999998
EdgeServer_3,82,3,66.9914
EdgeServer_4,82,4,66.9914
EdgeServer_5,82,5,74.50833333333334
EdgeServer_6,82,6,108.73333333333333
EdgeServer_1,83,1,178.37149999999997
EdgeServer_2,83,2,165.99599999999998
EdgeServer_3,83,3,66.9914
EdgeServer_4,83,4,66.9914
EdgeServer_5,83,5,74.50833333333334
EdgeServer_6,83,6,120.14166666666668
EdgeServer_1,84,1,178.37149999999997
EdgeServer_2,84,2,165.99599999999998
EdgeServer_3,84,3,66.9914
EdgeServer_4,84,4,66.9914
EdgeServer_5,84,5,74.50833333333334
EdgeServer_6,84,6,120.14166666666668
EdgeServer_1,85,1,178.37149999999997
EdgeServer_2,85,2,165.99599999999998
EdgeServer_3,85,3,66.9914
EdgeServer_4,85,4,66.9914
EdgeServer_5,85,5,74.50833333333334
EdgeServer_6,85,6,120.14166666666668
EdgeServer_1,86,1,178.37149999999997
EdgeServer_2,86,2,165.99599999999998
EdgeServer_3,86,3,66.9914
EdgeServer_4,86,4,66.9914
EdgeServer_5,86,5,74.50833333333334
EdgeServer_6,86,6,120.14166666666668
EdgeServer_1,87,1,178.37149999999997
EdgeServer_2,87,2,165.99599999999998
EdgeServer_3,87,3,66.9914
EdgeServer_4,87,4,66.9914
EdgeServer_5,87,5,74.50833333333334
EdgeServer_6,87,6,120.14166666666668
EdgeServer_1,88,1,178.37149999999997
EdgeServer_2,88,2,165.99599999999998
EdgeServer_3,88,3,66.9914
EdgeServer_4,88,4,66.9914
EdgeServer_5,88,5,74.50833333333334
EdgeServer_6,88,6,120.14166666666668
